System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,2000.000000,29142602.000000,0.000000,0.000700,0.023200,-1.197700,0.650391,0.000000,,42.781200,,,
2.000000,2100.000000,29142602.000000,0.000000,0.003600,0.034800,-1.191900,0.650391,0.000000,,,1.187500,,
3.000000,2200.000000,29142602.000000,0.000000,,,,,0.000000,,,1.187500,,
4.000000,2300.000000,29142602.000000,0.000000,0.023900,0.020300,-1.180300,0.325195,0.000000,,43.109402,1.187500,,4.000000
5.000000,2400.000000,29142602.000000,0.000000,0.003600,0.026100,-1.186100,,0.000000,,,1.187500,,6.000000
6.000000,2500.000000,29142602.000000,0.000000,0.000700,0.014500,-1.203500,0.650391,0.000000,,43.140598,1.187500,,7.000000
7.000000,2600.000000,29142602.000000,0.000000,0.009400,0.011600,-1.206400,0.325195,0.000000,,43.453098,1.187500,,9.000000
8.000000,2700.000000,29142602.000000,0.000000,0.012300,0.052200,-1.194800,0.650391,0.000000,,43.531200,1.187500,,10.000000
9.000000,2800.000000,29142602.000000,0.000000,0.023900,0.055100,-1.183200,0.650391,0.000000,,43.625000,1.375000,,12.000000
10.000000,2900.000000,29142602.000000,0.000000,0.044200,0.075400,-1.165800,0.650391,0.000000,,43.593800,1.437500,,13.000000
11.000000,3000.000000,29142602.000000,0.000000,0.026800,0.087000,-1.157100,0.650391,0.000000,,43.562500,1.437500,,15.000000
12.000000,3100.000000,29142602.000000,0.000000,0.012300,0.043500,-1.160000,0.650391,0.000000,,43.656200,1.437500,,16.000000
13.000000,3200.000000,29142602.000000,0.000000,-0.010900,0.043500,-1.177400,0.650391,0.000000,,43.718800,1.437500,,18.000000
14.000000,3300.000000,29142602.000000,0.000000,0.018100,0.052200,-1.186100,0.325195,0.000000,,43.906200,1.437500,,19.000000
15.000000,3400.000000,29142602.000000,0.000000,-0.010900,0.029000,-1.223800,,0.000000,,43.890598,1.125000,,21.000000
16.000000,3500.000000,29142602.000000,0.000000,0.026800,0.026100,-1.220900,0.325195,0.000000,,,1.062500,,22.000000
17.000000,3600.000000,29142602.000000,0.000000,0.041300,0.040600,-1.189000,0.325195,0.000000,,44.140598,1.000000,,24.000000
18.000000,3700.000000,29142602.000000,0.000000,0.035500,0.043500,-1.191900,0.325195,0.000000,,44.234402,0.937500,,25.000000
19.000000,3800.000000,29142602.000000,0.000000,0.026800,0.043500,-1.157100,0.325195,0.000000,,44.281200,0.937500,,27.000000
20.000000,3900.000000,29142602.000000,0.000000,0.009400,0.058000,-1.168700,0.650391,0.000000,,44.312500,0.875000,,28.000000
21.000000,4000.000000,29142602.000000,0.000000,0.006500,0.040600,-1.174500,0.325195,0.000000,,44.500000,0.750000,,30.000000
22.000000,4100.000000,29142602.000000,0.000000,0.003600,0.046400,-1.171600,0.325195,0.000000,,44.437500,0.562500,,31.000000
23.000000,4200.000000,29142602.000000,0.000000,0.026800,0.023200,-1.162900,0.650391,0.000000,,44.687500,0.375000,,33.000000
24.000000,4300.000000,29142602.000000,0.000000,0.012300,0.026100,-1.180300,0.650391,0.000000,,44.687500,0.312500,,34.000000
25.000000,4400.000000,29142602.000000,0.000000,0.000700,0.037700,-1.189000,,0.000000,,44.921902,0.312500,,36.000000
26.000000,4500.000000,29142602.000000,0.000000,0.006500,0.058000,-1.191900,0.650391,0.000000,,45.015598,0.312500,,37.000000
27.000000,4600.000000,29142602.000000,0.000000,0.009400,0.040600,-1.206400,0.325195,0.000000,,45.015598,0.312500,,39.000000
28.000000,4700.000000,29142602.000000,0.000000,0.023900,0.031900,-1.191900,0.325195,0.000000,,45.250000,0.000000,,40.000000
29.000000,4800.000000,29142602.000000,0.000000,0.012300,0.020300,-1.203500,0.325195,0.000000,,45.093800,-0.750000,,42.000000
30.000000,4900.000000,29142602.000000,0.000000,-0.010900,-0.011600,-1.232500,0.325195,0.000000,,45.312500,-1.437500,,43.000000
31.000000,5000.000000,29142602.000000,0.000000,0.055800,0.089900,-1.090400,0.325195,0.000000,,45.312500,-1.750000,,45.000000
32.000000,5100.000000,29142602.000000,0.000000,0.047100,-0.026100,-1.183200,0.325195,0.000000,,45.312500,-1.812500,,46.000000
33.000000,5200.000000,29142602.000000,0.000000,-0.034100,0.034800,-1.171600,0.325195,0.000000,,45.421902,-1.812500,,48.000000
34.000000,5300.000000,29142602.000000,0.000000,-0.034100,0.023200,-1.209300,0.000000,0.000000,,45.796902,-1.812500,,49.000000
35.000000,5400.000000,29142602.000000,0.000000,0.023900,0.023200,-1.197700,,0.000000,,46.031200,-1.812500,,51.000000
36.000000,5500.000000,29142602.000000,0.000000,0.023900,0.034800,-1.220900,0.000000,0.000000,,,-1.812500,,52.000000
37.000000,5600.000000,29142602.000000,0.000000,0.023900,0.046400,-1.194800,0.000000,0.000000,,46.000000,-1.812500,,54.000000
38.000000,5700.000000,29142602.000000,0.000000,-0.010900,0.020300,-1.197700,0.325195,0.000000,,,-1.812500,,55.000000
39.000000,5800.000000,29142602.000000,0.000000,0.003600,0.031900,-1.212200,0.325195,0.000000,,46.093800,-1.812500,,57.000000
40.000000,5900.000000,29142602.000000,0.000000,0.012300,0.029000,-1.203500,0.325195,0.000000,,46.328098,-1.750000,,58.000000
41.000000,6000.000000,29142602.000000,0.000000,0.006500,0.023200,-1.191900,0.325195,0.000000,,46.203098,-1.687500,,59.000000
42.000000,6100.000000,29142602.000000,0.000000,0.047100,0.026100,-1.145500,0.325195,0.000000,,46.390598,-1.687500,,61.000000
43.000000,6200.000000,29142602.000000,0.000000,0.018100,0.052200,-1.162900,0.000000,0.000000,,46.390598,-1.625000,,62.000000
44.000000,6300.000000,29142602.000000,0.000000,-0.010900,0.005800,-1.183200,0.325195,0.000000,,,-1.562500,,64.000000
45.000000,6400.000000,29142602.000000,0.000000,0.015200,0.017400,-1.197700,,0.000000,,46.687500,-1.437500,,65.000000
46.000000,6500.000000,29142602.000000,0.000000,0.009400,0.058000,-1.223800,0.000000,0.000000,,46.687500,-1.375000,,67.000000
47.000000,6600.000000,29142602.000000,0.000000,-0.010900,0.034800,-1.215100,0.325195,0.000000,,47.000000,-1.312500,,68.000000
48.000000,6700.000000,29142602.000000,0.000000,0.023900,0.069600,-1.209300,0.325195,0.000000,,,-0.812500,,70.000000
49.000000,6800.000000,29142602.000000,0.000000,0.026800,0.052200,-1.191900,0.325195,0.000000,,47.000000,-0.562500,,71.000000
50.000000,6900.000000,29142602.000000,0.000000,0.003600,0.034800,-1.174500,0.325195,0.000000,,46.843800,-0.312500,,73.000000
51.000000,7000.000000,29142602.000000,0.000000,-0.010900,0.034800,-1.180300,0.650391,0.000000,,46.843800,-0.312500,,74.000000
52.000000,7100.000000,29142602.000000,0.000000,-0.005100,0.011600,-1.174500,0.325195,0.000000,,47.078098,-0.312500,,76.000000
53.000000,7200.000000,29142602.000000,0.000000,0.009400,0.023200,-1.162900,0.325195,0.000000,,46.843800,-0.312500,,77.000000
54.000000,7300.000000,29142602.000000,0.000000,0.000700,0.023200,-1.174500,0.325195,0.000000,,,-0.312500,,79.000000
55.000000,7400.000000,29142602.000000,0.000000,-0.037000,0.058000,-1.191900,,0.000000,,46.906200,-0.187500,,80.000000
56.000000,7500.000000,29142602.000000,0.000000,-0.042800,0.063800,-1.203500,0.325195,0.000000,,47.000000,0.000000,,82.000000
57.000000,7600.000000,29142602.000000,0.000000,0.009400,0.014500,-1.168700,0.325195,0.000000,,46.906200,0.125000,,83.000000
58.000000,7700.000000,29142602.000000,0.000000,0.003600,0.142100,-1.197700,0.325195,0.000000,,46.906200,0.187500,,85.000000
59.000000,7800.000000,29142602.000000,0.000000,-0.034100,0.046400,-1.171600,0.650391,0.000000,,46.875000,0.250000,,86.000000
