System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,760400.000000,57833948.000000,,,,,0.000000,,,,,,
2.000000,760500.000000,57833948.000000,0.000000,-0.072500,-0.008700,-0.954100,0.000000,,,51.310001,1.500000,,11366.000000
3.000000,760600.000000,57833948.000000,0.000000,-0.055100,-0.008700,-0.971500,0.325195,,,51.389999,1.500000,,11368.000000
4.000000,760700.000000,57833948.000000,0.000000,-0.072500,0.000000,-0.968600,0.000000,,,51.570000,1.500000,,11369.000000
5.000000,760800.000000,57833948.000000,0.000000,-0.072500,-0.002900,-0.977300,0.000000,,,51.529999,1.500000,,11371.000000
6.000000,760900.000000,57833948.000000,0.000000,-0.072500,0.000000,-0.997600,-0.650391,,,51.580002,1.500000,,11372.000000
7.000000,761000.000000,57833948.000000,0.000000,-0.072500,0.000000,-0.986000,0.325195,,,51.689999,1.500000,,11374.000000
8.000000,761100.000000,57833948.000000,0.000000,-0.069600,0.000000,-1.012100,0.000000,,,51.720001,1.500000,,11375.000000
9.000000,761200.000000,57833948.000000,0.000000,-0.087000,0.005800,-1.017900,,,,51.770000,1.500000,,11377.000000
10.000000,761300.000000,57833948.000000,0.000000,-0.034800,-0.034800,-0.962800,-0.325195,,,51.689999,1.500000,,11378.000000
11.000000,761400.000000,57833948.000000,0.000000,-0.020300,-0.031900,-0.939600,0.000000,,,51.430000,1.500000,,11380.000000
12.000000,761500.000000,57833948.000000,0.000000,-0.075400,-0.029000,-0.936700,0.650391,,,51.540001,1.500000,,11381.000000
13.000000,761600.000000,57833948.000000,0.000000,-0.104400,-0.023200,-0.986000,0.000000,,,51.740002,1.500000,,11383.000000
14.000000,761700.000000,57833948.000000,0.000000,-0.069600,0.008700,-0.991800,0.000000,,,51.770000,1.500000,,11384.000000
15.000000,761800.000000,57833948.000000,0.000000,-0.034800,0.005800,-0.951200,0.000000,,,51.650002,1.500000,,11386.000000
16.000000,761900.000000,57833948.000000,0.000000,-0.040600,0.014500,-0.936700,-0.325195,,,51.650002,1.500000,,11387.000000
17.000000,762000.000000,57833948.000000,0.000000,-0.078300,-0.008700,-0.942500,0.000000,,,51.599998,1.500000,,11389.000000
18.000000,762100.000000,57833948.000000,0.000000,-0.081200,0.029000,-0.962800,0.000000,,,51.740002,1.500000,,11390.000000
19.000000,762200.000000,57833948.000000,0.000000,-0.058000,-0.029000,-0.971500,,,,51.630001,1.500000,,11392.000000
20.000000,762300.000000,57833948.000000,0.000000,-0.055100,-0.002900,-0.968600,0.000000,,,51.560001,1.500000,,11393.000000
21.000000,762400.000000,57833948.000000,0.000000,-0.069600,-0.017400,-0.965700,-0.325195,,,51.549999,1.500000,,11395.000000
22.000000,762500.000000,57833948.000000,0.000000,-0.058000,-0.008700,-0.965700,0.325195,,,51.590000,1.500000,,11396.000000
23.000000,762600.000000,57833948.000000,0.000000,-0.049300,-0.017400,-0.948300,0.000000,,,51.500000,1.500000,,11398.000000
24.000000,762700.000000,57833948.000000,0.000000,-0.069600,-0.020300,-0.957000,0.000000,,,51.520000,1.500000,,11399.000000
25.000000,762800.000000,57833948.000000,0.000000,-0.069600,-0.014500,-0.954100,-0.325195,,,51.590000,1.500000,,11401.000000
26.000000,762900.000000,57833948.000000,0.000000,-0.058000,-0.031900,-0.959900,0.000000,,,51.529999,1.500000,,11402.000000
27.000000,763000.000000,57833948.000000,0.000000,-0.058000,-0.017400,-0.957000,0.000000,,,51.389999,1.500000,,11404.000000
28.000000,763100.000000,57833948.000000,0.000000,-0.055100,-0.029000,-0.939600,0.000000,,,51.360001,1.500000,,11405.000000
29.000000,763200.000000,57833948.000000,0.000000,-0.055100,-0.005800,-0.948300,,,,51.320000,1.500000,,11407.000000
30.000000,763300.000000,57833948.000000,0.000000,-0.072500,-0.011600,-0.954100,0.000000,,,51.360001,1.500000,,11408.000000
31.000000,763400.000000,57833948.000000,0.000000,-0.058000,0.002900,-0.948300,-0.325195,,,51.270000,1.500000,,11410.000000
32.000000,763500.000000,57833948.000000,0.000000,-0.049300,-0.017400,-0.933800,-0.325195,,,51.299999,1.500000,,11411.000000
33.000000,763600.000000,57833948.000000,0.000000,-0.072500,-0.008700,-0.957000,0.000000,,,51.200001,1.500000,,11413.000000
34.000000,763700.000000,57833948.000000,0.000000,-0.089900,-0.031900,-0.980200,-0.325195,,,51.360001,1.500000,,11414.000000
35.000000,763800.000000,57833948.000000,0.000000,-0.066700,0.017400,-0.994700,0.000000,,,51.259998,1.500000,,11416.000000
36.000000,763900.000000,57833948.000000,0.000000,-0.043500,-0.020300,-0.954100,-0.325195,,,51.160000,1.500000,,11417.000000
37.000000,764000.000000,57833948.000000,0.000000,-0.046400,0.005800,-0.957000,-0.325195,,,51.060001,1.500000,,11419.000000
