System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,1061300.000000,79841918.000000,,0.002900,-0.034800,-1.006300,-0.325195,,,,,,15874.000000
2.000000,1061400.000000,79841918.000000,,0.011600,-0.034800,-0.997600,-0.975586,,,,,,15875.000000
3.000000,1061500.000000,79841918.000000,,-0.005800,-0.055100,-1.012100,-0.650391,,,,,,15877.000000
4.000000,1061600.000000,79841918.000000,,0.023200,-0.069600,-1.009200,-0.975586,,,,,,15878.000000
5.000000,1061700.000000,79841918.000000,,0.000000,-0.040600,-0.971500,0.000000,,,109.000000,,,15880.000000
6.000000,1061800.000000,79841918.000000,,0.023200,-0.011600,-0.948300,,,,109.000000,,,15881.000000
7.000000,1061900.000000,79841918.000000,,-0.020300,-0.014500,-0.986000,0.000000,,,109.000000,,,15883.000000
8.000000,1062000.000000,79841918.000000,,0.005800,-0.049300,-1.073000,0.000000,,,108.000000,,,15884.000000
9.000000,1062100.000000,79841918.000000,,0.031900,-0.029000,-1.000500,0.000000,,,,,,15886.000000
10.000000,1062200.000000,79841918.000000,,0.002900,0.000000,-0.919300,0.000000,,,,,,15887.000000
11.000000,1062300.000000,79841918.000000,,-0.017400,-0.029000,-0.945400,-0.325195,,111.758546,,,,15889.000000
12.000000,1062400.000000,79841918.000000,,0.008700,-0.040600,-1.000500,0.000000,,,,,,15890.000000
13.000000,1062500.000000,79841918.000000,,0.000000,-0.029000,-1.009200,-0.325195,,,,,,15892.000000
14.000000,1062600.000000,79841918.000000,,0.005800,-0.034800,-0.991800,-0.325195,,,110.000000,,,15893.000000
15.000000,1062700.000000,79841918.000000,,0.000000,-0.031900,-0.962800,-0.975586,,,110.000000,,,15895.000000
16.000000,1062800.000000,79841918.000000,,-0.011600,-0.029000,-0.988900,-0.325195,,,110.000000,,,15896.000000
17.000000,1062900.000000,79841918.000000,,0.023200,-0.063800,-0.954100,,,,109.000000,,,15898.000000
18.000000,1063000.000000,79841918.000000,,0.008700,-0.072500,-0.849700,-1.300781,,,,,,15899.000000
19.000000,1063100.000000,79841918.000000,,-0.043500,-0.060900,-0.893200,-0.975586,,,,,,15901.000000
20.000000,1063200.000000,79841918.000000,,-0.023200,-0.113100,-1.099100,-0.325195,,,109.000000,,,15902.000000
21.000000,1063300.000000,79841918.000000,,-0.029000,-0.034800,-1.293400,-0.325195,,110.832626,109.000000,,,15904.000000
22.000000,1063400.000000,79841918.000000,,0.049300,0.017400,-1.162900,-0.325195,,,108.000000,,,15905.000000
23.000000,1063500.000000,79841918.000000,,0.049300,-0.031900,-0.962800,-0.975586,,,108.000000,,,15907.000000
24.000000,1063600.000000,79841918.000000,,-0.005800,-0.037700,-0.904800,-0.325195,,,108.000000,,,15908.000000
25.000000,1063700.000000,79841918.000000,,0.020300,-0.037700,-0.904800,-0.325195,,,108.000000,,,15910.000000
26.000000,1063800.000000,79841918.000000,,0.002900,-0.023200,-0.945400,0.000000,,,108.000000,,,15911.000000
27.000000,1063900.000000,79841918.000000,,0.005800,-0.014500,-1.000500,,,,,,,15913.000000
28.000000,1064000.000000,79841918.000000,,0.000000,0.000000,-1.049800,-0.650391,,,,,,15914.000000
29.000000,1064100.000000,79841918.000000,,0.014500,-0.023200,-1.006300,-0.325195,,,107.000000,,,15916.000000
30.000000,1064200.000000,79841918.000000,,-0.005800,-0.031900,-0.968600,-0.650391,,,107.000000,,,15917.000000
31.000000,1064300.000000,79841918.000000,,0.005800,-0.014500,-0.974400,-0.325195,,109.610410,107.000000,,,15919.000000
32.000000,1064400.000000,79841918.000000,,0.026100,-0.023200,-0.951200,-0.975586,,,107.000000,,,15920.000000
33.000000,1064500.000000,79841918.000000,,0.000000,-0.052200,-0.988900,-0.975586,,,107.000000,,,15922.000000
34.000000,1064600.000000,79841918.000000,,0.011600,-0.017400,-1.020800,-0.325195,,,107.000000,,,15923.000000
35.000000,1064700.000000,79841918.000000,,0.034800,-0.002900,-0.991800,-0.325195,,,107.000000,,,15925.000000
36.000000,1064800.000000,79841918.000000,,0.000000,-0.011600,-0.971500,0.000000,,,,,,15926.000000
37.000000,1064900.000000,79841918.000000,,0.029000,-0.034800,-0.942500,,,,,,,15928.000000
38.000000,1065000.000000,79841918.000000,,0.008700,-0.026100,-0.968600,-0.650391,,,,,,15929.000000
39.000000,1065100.000000,79841918.000000,,0.029000,-0.011600,-1.023700,-0.325195,,,,,,15931.000000
40.000000,1065200.000000,79841918.000000,,0.005800,-0.008700,-1.032400,-0.325195,,,106.000000,,,15932.000000
41.000000,1065300.000000,79841918.000000,,0.046400,-0.017400,-0.991800,-0.325195,,107.888200,106.000000,,,15934.000000
42.000000,1065400.000000,79841918.000000,,0.005800,-0.011600,-0.986000,-0.650391,,,106.000000,,,15935.000000
43.000000,1065500.000000,79841918.000000,,0.023200,-0.005800,-0.997600,0.000000,,,106.000000,,,15937.000000
44.000000,1065600.000000,79841918.000000,,-0.017400,0.023200,-1.026600,-0.325195,,,,,,15938.000000
45.000000,1065700.000000,79841918.000000,,0.005800,0.008700,-1.151300,-0.650391,,,,,,15940.000000
46.000000,1065800.000000,79841918.000000,,0.020300,-0.043500,-1.191900,0.000000,,,,,,15941.000000
47.000000,1065900.000000,79841918.000000,,0.098600,-0.014500,-0.971500,,,,,,,15943.000000
48.000000,1066000.000000,79841918.000000,,0.060900,0.002900,-0.765600,0.000000,,,106.000000,,,15944.000000
49.000000,1066100.000000,79841918.000000,,0.002900,-0.031900,-0.748200,-0.325195,,,106.000000,,,15946.000000
50.000000,1066200.000000,79841918.000000,,0.023200,-0.063800,-0.867100,-0.650391,,,106.000000,,,15947.000000
51.000000,1066300.000000,79841918.000000,,0.026100,-0.089900,-1.003400,-0.325195,,108.277082,105.000000,,,15949.000000
52.000000,1066400.000000,79841918.000000,,0.040600,-0.052200,-1.128100,-1.300781,,,,,,15950.000000
53.000000,1066500.000000,79841918.000000,,0.063800,-0.049300,-1.131000,0.000000,,,,,,15952.000000
54.000000,1066600.000000,79841918.000000,,0.008700,-0.063800,-1.044000,0.000000,,,,,,15953.000000
55.000000,1066700.000000,79841918.000000,,0.052200,-0.049300,-0.948300,-0.650391,,,,,,15955.000000
