System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,1770400.000000,64495331.000000,0.000000,0.000000,0.197200,-0.983100,2.601562,0.000000,,72.599998,,,
2.000000,1770500.000000,64495331.000000,0.000000,0.008700,0.205900,-0.988900,3.902344,0.000000,,72.400002,,,26501.000000
3.000000,1770600.000000,64495331.000000,0.000000,-0.026100,0.203000,-1.006300,3.902344,0.000000,,72.330002,,,26503.000000
4.000000,1770700.000000,64495331.000000,0.000000,-0.017400,0.203000,-1.049800,3.577148,0.000000,,72.260002,,,26504.000000
5.000000,1770800.000000,64495331.000000,0.000000,-0.023200,0.185600,-1.075900,3.577148,0.000000,,72.040001,,,26506.000000
6.000000,1770900.000000,64495331.000000,0.000000,-0.023200,0.171100,-1.110700,2.276367,0.000000,,71.910004,,,26507.000000
7.000000,1771000.000000,64495331.000000,0.000000,0.017400,0.133400,-1.061400,,0.000000,,71.809998,,,26509.000000
8.000000,1771100.000000,64495331.000000,0.000000,0.017400,0.089900,-1.012100,3.902344,0.000000,,71.480003,,,26510.000000
9.000000,1771200.000000,64495331.000000,0.000000,0.008700,0.098600,-0.959900,3.902344,0.000000,,71.209999,,,26512.000000
10.000000,1771300.000000,64495331.000000,0.000000,0.002900,0.133400,-0.962800,3.577148,0.000000,,71.029999,,,26513.000000
11.000000,1771400.000000,64495331.000000,0.000000,-0.020300,0.182700,-0.997600,3.251953,0.000000,71.129176,71.010002,,,26515.000000
12.000000,1771500.000000,64495331.000000,0.000000,-0.002900,0.226200,-1.015000,4.552734,0.000000,,70.730003,,,26516.000000
13.000000,1771600.000000,64495331.000000,0.000000,-0.008700,0.203000,-1.020800,3.902344,0.000000,,70.500000,,,26518.000000
14.000000,1771700.000000,64495331.000000,0.000000,-0.005800,0.188500,-1.009200,3.902344,0.000000,,70.379997,,,26519.000000
15.000000,1771800.000000,64495331.000000,0.000000,-0.011600,0.191400,-1.035300,3.577148,0.000000,,70.209999,,,26521.000000
16.000000,1771900.000000,64495331.000000,0.000000,0.008700,0.194300,-1.020800,3.251953,0.000000,,69.870003,,,26522.000000
17.000000,1772000.000000,64495331.000000,0.000000,0.017400,0.168200,-0.997600,,0.000000,,69.559998,,,26524.000000
18.000000,1772100.000000,64495331.000000,0.000000,0.011600,0.142100,-0.968600,4.227539,0.000000,,69.260002,,,26525.000000
19.000000,1772200.000000,64495331.000000,0.000000,0.014500,0.162400,-0.925100,3.577148,0.000000,,69.050003,,,26527.000000
20.000000,1772300.000000,64495331.000000,0.000000,-0.017400,0.153700,-0.959900,3.577148,0.000000,,68.930000,,,26528.000000
21.000000,1772400.000000,64495331.000000,0.000000,-0.020300,0.159500,-1.006300,3.577148,0.000000,70.351398,68.739998,,,26530.000000
22.000000,1772500.000000,64495331.000000,0.000000,-0.014500,0.153700,-1.035300,4.552734,0.000000,,68.480003,,,26531.000000
23.000000,1772600.000000,64495331.000000,0.000000,0.002900,0.162400,-1.012100,3.577148,0.000000,,68.269997,,,26533.000000
24.000000,1772700.000000,64495331.000000,0.000000,0.002900,0.174000,-0.974400,3.577148,0.000000,,68.070000,,,26534.000000
25.000000,1772800.000000,64495331.000000,0.000000,0.005800,0.176900,-0.965700,3.251953,0.000000,,67.750000,,,26536.000000
26.000000,1772900.000000,64495331.000000,0.000000,0.000000,0.182700,-0.959900,3.577148,0.000000,,67.440002,,,26537.000000
27.000000,1773000.000000,64495331.000000,0.000000,0.014500,0.165300,-0.959900,,0.000000,,67.129997,,,26539.000000
