System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,151500.000000,65970504.000000,,0.095700,-0.005800,-0.980200,,0.000000,,,-6.000000,,
2.000000,151600.000000,65970504.000000,,0.092800,-0.037700,-0.994700,-0.325195,0.000000,,30.469999,-6.000000,,2241.000000
3.000000,151700.000000,65970504.000000,,0.089900,-0.002900,-0.997600,0.000000,0.000000,,30.719999,-6.000000,,2243.000000
4.000000,151800.000000,65970504.000000,,0.095700,-0.017400,-0.988900,-0.975586,0.000000,,30.930000,-6.000000,,2244.000000
5.000000,151900.000000,65970504.000000,,0.089900,-0.008700,-0.983100,0.000000,0.000000,,31.150000,-6.000000,,2246.000000
6.000000,152000.000000,65970504.000000,,0.092800,-0.008700,-0.988900,-0.325195,0.000000,,31.360001,-7.500000,,2247.000000
7.000000,152100.000000,65970504.000000,,0.078300,-0.014500,-1.006300,-0.650391,0.000000,,31.650000,-7.500000,,2249.000000
8.000000,152200.000000,65970504.000000,,0.089900,-0.014500,-0.980200,-0.975586,0.000000,,31.770000,-7.500000,,2250.000000
9.000000,152300.000000,65970504.000000,,0.087000,-0.017400,-0.974400,-1.300781,0.000000,,32.070000,-7.500000,,2252.000000
10.000000,152400.000000,65970504.000000,,0.087000,-0.002900,-0.997600,-0.650391,0.000000,,32.189999,-7.500000,,2253.000000
11.000000,152500.000000,65970504.000000,,0.075400,-0.017400,-1.009200,,0.000000,,32.360001,-7.500000,,2255.000000
12.000000,152600.000000,65970504.000000,,0.078300,-0.011600,-0.988900,-0.650391,0.000000,,32.730000,-7.500000,,2256.000000
13.000000,152700.000000,65970504.000000,,0.081200,-0.002900,-0.991800,-0.650391,0.000000,,32.790001,-7.500000,,2258.000000
14.000000,152800.000000,65970504.000000,,0.098600,-0.040600,-0.977300,-2.276367,0.000000,,33.049999,-7.500000,,2259.000000
15.000000,152900.000000,65970504.000000,,0.084100,-0.023200,-0.994700,-0.325195,0.000000,33.518305,33.209999,-7.500000,,2261.000000
16.000000,153000.000000,65970504.000000,,0.069600,0.005800,-1.012100,-0.325195,0.000000,,33.430000,-7.500000,,2262.000000
17.000000,153100.000000,65970504.000000,,0.078300,-0.043500,-0.997600,-0.650391,0.000000,,33.660000,-7.500000,,2264.000000
