System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,592900.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,-0.325195,,,,,,8855.000000
2.000000,593000.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,,,,8857.000000
3.000000,593100.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.325195,,,,,,8858.000000
4.000000,593200.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.000000,,0.018518,,,,8860.000000
5.000000,593300.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,0.000000,,,0.000000,,,8861.000000
6.000000,593400.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,-0.325195,,,,,,8863.000000
7.000000,593500.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,0.000000,,,,,,8864.000000
8.000000,593600.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,,,,,,,8866.000000
9.000000,593700.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,0.000000,,,8867.000000
10.000000,593800.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8869.000000
11.000000,593900.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,,,,8870.000000
12.000000,594000.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8872.000000
13.000000,594100.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.975586,,,0.000000,,,8873.000000
14.000000,594200.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,0.055555,,,,8875.000000
15.000000,594300.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,-0.325195,,,,,,8876.000000
16.000000,594400.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8878.000000
17.000000,594500.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,-0.325195,,,,,,8879.000000
18.000000,594600.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,,,,,,,8881.000000
19.000000,594700.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,-0.325195,,,,,,8882.000000
20.000000,594800.000000,55122782.000000,,-0.005800,-0.026100,-0.986000,0.000000,,,,,,8884.000000
21.000000,594900.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,0.000000,,,8885.000000
22.000000,595000.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,0.000000,,,,,,8887.000000
23.000000,595100.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.000000,,,,,,8888.000000
24.000000,595200.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,0.018518,,,,8890.000000
25.000000,595300.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,0.000000,,,8891.000000
26.000000,595400.000000,55122782.000000,,-0.005800,-0.026100,-0.986000,0.325195,,,,,,8893.000000
27.000000,595500.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.000000,,,,,,8894.000000
28.000000,595600.000000,55122782.000000,,-0.005800,-0.029000,-0.983100,,,,,,,8896.000000
29.000000,595700.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,,,,8897.000000
30.000000,595800.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.000000,,,,,,8899.000000
31.000000,595900.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,-0.325195,,,,,,8900.000000
32.000000,596000.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.325195,,,,,,8902.000000
33.000000,596100.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,0.000000,,,,,,8903.000000
34.000000,596200.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,0.018518,0.000000,,,8905.000000
35.000000,596300.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8906.000000
36.000000,596400.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.000000,,,,,,8908.000000
37.000000,596500.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8909.000000
38.000000,596600.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,,,,0.000000,,,8911.000000
39.000000,596700.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,-0.325195,,,,,,8912.000000
40.000000,596800.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,,,,8914.000000
41.000000,596900.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8915.000000
42.000000,597000.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,0.000000,,,8917.000000
43.000000,597100.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.325195,,,,,,8918.000000
44.000000,597200.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,0.018518,,,,8920.000000
45.000000,597300.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8921.000000
46.000000,597400.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.325195,,,0.000000,,,8923.000000
47.000000,597500.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8924.000000
48.000000,597600.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,,,,,,,8926.000000
49.000000,597700.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,,,,8927.000000
50.000000,597800.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,0.000000,,,,,,8929.000000
51.000000,597900.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8930.000000
52.000000,598000.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,-0.325195,,,,,,8932.000000
53.000000,598100.000000,55122782.000000,,-0.005800,-0.029000,-0.983100,-0.325195,,,,,,8933.000000
54.000000,598200.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,0.018518,,,,8935.000000
55.000000,598300.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,0.000000,,,,,,8936.000000
56.000000,598400.000000,55122782.000000,,-0.002900,-0.029000,-0.986000,0.000000,,,0.000000,,,8938.000000
57.000000,598500.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,-0.325195,,,,,,8939.000000
58.000000,598600.000000,55122782.000000,,-0.005800,-0.026100,-0.986000,,,,,,,8941.000000
59.000000,598700.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,-0.325195,,,,,,8942.000000
60.000000,598800.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.325195,,,0.000000,,,8944.000000
61.000000,598900.000000,55122782.000000,,-0.002900,-0.026100,-0.983100,0.000000,,,,,,8945.000000
62.000000,599000.000000,55122782.000000,,-0.005800,-0.026100,-0.986000,0.000000,,,,,,8947.000000
63.000000,599100.000000,55122782.000000,,-0.005800,-0.026100,-0.983100,-0.325195,,,,,,8948.000000
64.000000,599200.000000,55122782.000000,,-0.002900,-0.029000,-0.983100,-0.650391,,0.037037,0.000000,,,8950.000000
65.000000,599300.000000,55122782.000000,,-0.002900,-0.026100,-0.986000,0.000000,,,,,,8951.000000
