System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.abs,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_z,vtti.pedal_brake_state,vtti.speed_gps,vtti.speed_network,vtti.steering_wheel_position,vtti.turn_signal,vtti.video_frame
1.000000,2315300.000000,52247723.000000,0.000000,0.000000,-0.017400,-0.951200,-0.975586,0.000000,,,,,34665.000000
2.000000,2315400.000000,52247723.000000,0.000000,0.043500,-0.037700,-0.974400,-0.325195,0.000000,,,,,34666.000000
3.000000,2315500.000000,52247723.000000,0.000000,0.029000,-0.002900,-1.000500,-0.325195,0.000000,,,,,34668.000000
4.000000,2315600.000000,52247723.000000,0.000000,0.000000,0.055100,-0.959900,,0.000000,,,,,34669.000000
5.000000,2315700.000000,52247723.000000,0.000000,0.043500,-0.049300,-0.948300,-0.325195,0.000000,,,,,34671.000000
6.000000,2315800.000000,52247723.000000,0.000000,-0.011600,-0.043500,-0.977300,-0.650391,0.000000,,,,,34672.000000
7.000000,2315900.000000,52247723.000000,0.000000,0.011600,-0.014500,-1.000500,-0.650391,0.000000,,,,,34674.000000
8.000000,2316000.000000,52247723.000000,0.000000,-0.014500,-0.008700,-0.986000,-0.650391,0.000000,,,,,34675.000000
9.000000,2316100.000000,52247723.000000,0.000000,-0.020300,0.011600,-0.962800,-0.325195,0.000000,,,,,34677.000000
10.000000,2316200.000000,52247723.000000,0.000000,-0.014500,-0.002900,-0.965700,-0.325195,0.000000,,,,,34678.000000
11.000000,2316300.000000,52247723.000000,0.000000,-0.066700,-0.043500,-1.009200,-0.650391,0.000000,,,,,34680.000000
12.000000,2316400.000000,52247723.000000,0.000000,0.000000,-0.043500,-0.913500,-0.325195,0.000000,,,,,34681.000000
13.000000,2316500.000000,52247723.000000,0.000000,-0.069600,0.002900,-0.983100,-0.325195,0.000000,,,,,34683.000000
14.000000,2316600.000000,52247723.000000,0.000000,-0.055100,0.026100,-0.977300,,0.000000,,,,,34684.000000
15.000000,2316700.000000,52247723.000000,0.000000,-0.034800,-0.060900,-0.968600,-0.650391,0.000000,,,,,34686.000000
16.000000,2316800.000000,52247723.000000,0.000000,-0.087000,-0.031900,-0.945400,-0.325195,0.000000,,,,,34687.000000
17.000000,2316900.000000,52247723.000000,0.000000,-0.037700,-0.066700,-0.986000,-0.650391,0.000000,25.185024,,,,34689.000000
18.000000,2317000.000000,52247723.000000,0.000000,-0.058000,0.014500,-0.948300,-0.650391,0.000000,,,,,34690.000000
19.000000,2317100.000000,52247723.000000,0.000000,-0.029000,-0.017400,-0.904800,-0.650391,0.000000,,,,,34692.000000
20.000000,2317200.000000,52247723.000000,0.000000,-0.063800,-0.046400,-0.968600,-0.325195,0.000000,,,,,34693.000000
21.000000,2317300.000000,52247723.000000,0.000000,,,,-0.325195,0.000000,,,,,34695.000000
22.000000,2317400.000000,52247723.000000,0.000000,-0.029000,-0.049300,-0.962800,-0.650391,0.000000,,,,,34696.000000
23.000000,2317500.000000,52247723.000000,0.000000,-0.098600,-0.005800,-0.965700,-1.300781,0.000000,,,,,34698.000000
24.000000,2317600.000000,52247723.000000,0.000000,-0.060900,-0.020300,-0.974400,-0.325195,0.000000,,,,,34699.000000
25.000000,2317700.000000,52247723.000000,0.000000,-0.020300,0.008700,-0.933800,,0.000000,,,,,34701.000000
26.000000,2317800.000000,52247723.000000,0.000000,-0.055100,-0.058000,-0.959900,-0.650391,0.000000,,,,,34702.000000
27.000000,2317900.000000,52247723.000000,0.000000,-0.069600,-0.046400,-0.991800,0.000000,0.000000,24.351696,,,,34704.000000
28.000000,2318000.000000,52247723.000000,0.000000,-0.046400,-0.020300,-1.003400,-0.650391,0.000000,,,,,34705.000000
29.000000,2318100.000000,52247723.000000,0.000000,-0.014500,0.011600,-0.916400,-0.650391,0.000000,,,,,34707.000000
30.000000,2318200.000000,52247723.000000,0.000000,-0.037700,-0.023200,-0.913500,0.000000,0.000000,,,,,34708.000000
31.000000,2318300.000000,52247723.000000,0.000000,-0.052200,-0.014500,-0.974400,-0.325195,0.000000,,,,,34710.000000
32.000000,2318400.000000,52247723.000000,0.000000,-0.029000,0.023200,-0.980200,-0.650391,0.000000,,,,,34711.000000
33.000000,2318500.000000,52247723.000000,0.000000,-0.017400,-0.046400,-0.959900,-0.325195,0.000000,,,,,34713.000000
34.000000,2318600.000000,52247723.000000,0.000000,-0.058000,0.000000,-0.936700,-0.325195,0.000000,,,,,34714.000000
35.000000,2318700.000000,52247723.000000,0.000000,-0.046400,-0.046400,-0.959900,,0.000000,,,,,34716.000000
36.000000,2318800.000000,52247723.000000,0.000000,-0.026100,0.000000,-0.930900,-0.325195,0.000000,,,,,34717.000000
37.000000,2318900.000000,52247723.000000,0.000000,-0.087000,0.002900,-1.029500,0.000000,0.000000,21.092457,,,,34719.000000
38.000000,2319000.000000,52247723.000000,0.000000,-0.058000,0.000000,-1.000500,-0.650391,0.000000,,,,,34720.000000
39.000000,2319100.000000,52247723.000000,0.000000,-0.034800,-0.020300,-0.942500,0.000000,0.000000,,,,,34722.000000
40.000000,2319200.000000,52247723.000000,0.000000,-0.026100,-0.031900,-0.954100,-0.325195,0.000000,,,,,34723.000000
41.000000,2319300.000000,52247723.000000,0.000000,-0.052200,0.017400,-0.948300,0.000000,0.000000,,,,,34725.000000
42.000000,2319400.000000,52247723.000000,0.000000,-0.014500,-0.023200,-1.003400,-0.325195,0.000000,,,,,34726.000000
43.000000,2319500.000000,52247723.000000,0.000000,-0.029000,-0.026100,-1.003400,-0.650391,0.000000,,,,,34728.000000
44.000000,2319600.000000,52247723.000000,0.000000,-0.043500,-0.029000,-0.988900,-0.325195,0.000000,,,,,34729.000000
45.000000,2319700.000000,52247723.000000,0.000000,0.000000,0.000000,-0.887400,,0.000000,,,,,34731.000000
46.000000,2319800.000000,52247723.000000,0.000000,-0.011600,0.014500,-0.896100,-0.650391,0.000000,,,,,34732.000000
47.000000,2319900.000000,52247723.000000,0.000000,-0.049300,-0.017400,-0.991800,0.000000,0.000000,18.129513,,,,34734.000000
48.000000,2320000.000000,52247723.000000,0.000000,-0.058000,-0.020300,-1.017900,0.000000,0.000000,,,,,34735.000000
49.000000,2320100.000000,52247723.000000,0.000000,-0.037700,-0.029000,-0.991800,0.325195,0.000000,,,,,34737.000000
50.000000,2320200.000000,52247723.000000,0.000000,-0.020300,-0.014500,-0.925100,-0.325195,0.000000,,,,,34738.000000
51.000000,2320300.000000,52247723.000000,0.000000,-0.034800,0.072500,-0.910600,-0.650391,0.000000,,,,,34740.000000
52.000000,2320400.000000,52247723.000000,0.000000,,,,0.000000,0.000000,,,,,34741.000000
53.000000,2320500.000000,52247723.000000,0.000000,-0.023200,-0.011600,-0.986000,0.000000,0.000000,,,,,34743.000000
54.000000,2320600.000000,52247723.000000,0.000000,0.000000,-0.023200,-0.957000,-0.650391,0.000000,,,,,34744.000000
55.000000,2320700.000000,52247723.000000,0.000000,-0.046400,-0.020300,-1.009200,0.000000,0.000000,,,,,34746.000000
56.000000,2320800.000000,52247723.000000,0.000000,-0.066700,0.005800,-0.988900,,0.000000,,,,,34747.000000
57.000000,2320900.000000,52247723.000000,0.000000,-0.031900,0.034800,-0.910600,-0.325195,0.000000,18.240625,,,,34749.000000
58.000000,2321000.000000,52247723.000000,0.000000,-0.008700,0.023200,-0.928000,-0.650391,0.000000,,,,,34750.000000
59.000000,2321100.000000,52247723.000000,0.000000,-0.029000,0.005800,-0.980200,-0.325195,0.000000,,,,,34752.000000
60.000000,2321200.000000,52247723.000000,0.000000,-0.049300,0.002900,-0.991800,0.000000,0.000000,,,,,34753.000000
61.000000,2321300.000000,52247723.000000,0.000000,-0.040600,-0.002900,-0.965700,-0.325195,0.000000,,,,,34755.000000
62.000000,2321400.000000,52247723.000000,0.000000,-0.023200,0.005800,-0.977300,0.325195,0.000000,,,,,34756.000000
63.000000,2321500.000000,52247723.000000,0.000000,-0.029000,0.037700,-0.936700,0.000000,0.000000,,,,,34758.000000
64.000000,2321600.000000,52247723.000000,0.000000,-0.072500,0.005800,-0.971500,0.000000,0.000000,,,,,34759.000000
65.000000,2321700.000000,52247723.000000,0.000000,-0.046400,0.020300,-0.962800,0.000000,0.000000,,,,,34761.000000
66.000000,2321800.000000,52247723.000000,0.000000,-0.031900,0.005800,-0.957000,0.325195,0.000000,,,,,34762.000000
67.000000,2321900.000000,52247723.000000,0.000000,-0.040600,0.000000,-0.997600,,0.000000,17.092483,,,,34764.000000
68.000000,2322000.000000,52247723.000000,0.000000,-0.031900,0.000000,-0.974400,0.000000,0.000000,,,,,34765.000000
69.000000,2322100.000000,52247723.000000,0.000000,-0.049300,0.017400,-0.936700,0.000000,0.000000,,,,,34767.000000
70.000000,2322200.000000,52247723.000000,0.000000,-0.049300,-0.008700,-0.980200,0.000000,0.000000,,,,,34768.000000
71.000000,2322300.000000,52247723.000000,0.000000,-0.023200,0.020300,-0.951200,0.000000,1.000000,,,,,34770.000000
72.000000,2322400.000000,52247723.000000,0.000000,-0.049300,0.029000,-0.986000,-0.325195,1.000000,,,,,34771.000000
73.000000,2322500.000000,52247723.000000,0.000000,-0.040600,0.023200,-0.971500,0.000000,1.000000,,,,,34773.000000
74.000000,2322600.000000,52247723.000000,0.000000,-0.029000,-0.011600,-0.945400,0.325195,1.000000,,,,,34774.000000
75.000000,2322700.000000,52247723.000000,0.000000,-0.043500,-0.017400,-0.957000,0.000000,1.000000,,,,,34776.000000
76.000000,2322800.000000,52247723.000000,0.000000,-0.049300,0.049300,-0.971500,0.000000,1.000000,,,,,34777.000000
77.000000,2322900.000000,52247723.000000,0.000000,-0.052200,0.017400,-0.951200,,1.000000,15.277681,,,,34779.000000
78.000000,2323000.000000,52247723.000000,0.000000,-0.072500,-0.005800,-0.974400,0.000000,1.000000,,,,,34780.000000
79.000000,2323100.000000,52247723.000000,0.000000,-0.063800,-0.023200,-0.965700,0.000000,1.000000,,,,,34782.000000
